COCET 1650-1700 日本語->英語	
精神	spirit
魂	soul
荷物	luggage
小包	parcel
賞	award
功績	credit
障壁	barrier
信念	belief
指数	index
比	ratio
確率	probability
海の	marine
具体的な	concrete
複雑な	complicated
大西洋の	Atlantic
理想的な	ideal
信じられない	incredible
神経の	neural
知的な	intellectual
正確な	precise
免疫の	immune
目が見えない	blind
耳が聞こえない	deaf
都会の	urban
田舎の	rural
郊外	suburb
市民	citizen
隣人	neighbor
存在	presence
手がかり	clue
薄片	flake
区域	zone
意見	opinion
小説	novel
メディア	media
教訓	moral
作り話	fiction
神秘	mystery
処理する	cope
濡れる	leak
取り付ける	install
修理する	repair
制限する	restrict
後悔する	regret
祈る	pray
挿入する	insert
散らす	scatter
剥ぎ取る	strip
育てる	breed
調整する	coordinate
